,user_id,game_link,elo,colour,opening,result,movements,total_time_player,total_time,early_times_mean,early_times_median,early_times_variance,early_times_max,early_times_min,mid_times_mean,mid_times_median,mid_times_variance,mid_times_max,mid_times_min,end_times_mean,end_times_median,end_times_variance,end_times_max,end_times_min,points_balance,taken_balance,aggressiveness
75,Mixasi,https://lichess.org/KXcoQ8sq,1989,Black,Benoni Defense: Old Benoni,0,67,708.0,1318.0,7.1,3.5,58.09000000000001,23.0,2.0,23.0,12.0,1191.5,132.0,1.0,36.1,13.0,1741.89,116.0,1.0,1,1,0.0
76,classyplays,https://lichess.org/tYefmzo4,2504,White,Queen's Pawn Game: Chigorin Variation,2,42,1477.0,1723.0,55.833333333333336,60.0,1244.138888888889,115.0,1.0,72.875,68.5,363.359375,109.0,49.0,93.16666666666667,71.0,2449.472222222222,173.0,43.0,1,1,2.0
77,queensny,https://lichess.org/tYefmzo4,1593,Black,Queen's Pawn Game: Chigorin Variation,0,42,246.0,1723.0,10.833333333333334,6.5,94.80555555555554,25.0,1.0,8.375,5.5,48.484375,21.0,2.0,19.0,14.5,122.66666666666667,36.0,6.0,-1,-1,0.0
78,classyplays,https://lichess.org/1hVUvoPC,2504,White,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto",2,57,2629.0,5383.0,57.875,61.5,112.359375,70.0,43.0,142.45454545454547,134.0,5058.97520661157,269.0,25.0,66.55555555555556,65.0,1278.6913580246915,125.0,23.0,4,0,0.0
79,OnTheWaytoFM,https://lichess.org/1hVUvoPC,1500,Black,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto",0,57,2754.0,5383.0,29.625,13.5,1249.984375,104.0,4.0,176.72727272727272,145.0,17263.289256198346,519.0,7.0,71.625,51.5,4084.984375,191.0,1.0,-4,0,0.0
80,classyplays,https://lichess.org/YXXKtNJn,2504,White,Catalan Opening: Closed Variation,2,41,1549.0,1805.0,52.8,63.0,1665.36,104.0,2.0,72.75,64.0,1037.1875,144.0,37.0,100.42857142857143,122.0,3127.9591836734694,183.0,5.0,2,0,0.0
81,volitionwill,https://lichess.org/YXXKtNJn,1500,Black,Catalan Opening: Closed Variation,0,41,256.0,1805.0,6.6,2.0,95.03999999999998,26.0,0.0,25.75,16.0,861.6875,87.0,0.0,2.8333333333333335,3.5,5.138888888888888,5.0,0.0,-2,0,0.0
82,classyplays,https://lichess.org/Gf3TuV8m,2504,White,Queen's Pawn Game: Chigorin Variation,0,86,3307.0,5081.0,73.23076923076923,59.0,1614.6390532544378,162.0,5.0,103.33333333333333,95.0,8361.422222222223,393.0,22.0,57.5,45.5,1445.5357142857142,153.0,8.0,-2,-2,0.0
83,aircanada,https://lichess.org/Gf3TuV8m,1500,Black,Queen's Pawn Game: Chigorin Variation,2,86,1774.0,5081.0,27.846153846153847,17.0,559.3609467455622,85.0,5.0,67.26666666666667,48.0,8064.728888888889,384.0,5.0,28.785714285714285,16.5,1318.168367346939,145.0,3.0,2,2,0.5
84,classyplays,https://lichess.org/mtK0unYA,2504,White,"Queen's Pawn Game: Veresov Attack, Alburt Defense",2,5,99.0,99.0,27.0,27.0,0.0,27.0,27.0,,,,,,72.0,72.0,0.0,72.0,72.0,0,0,2.0
85,SaiYaragalla,https://lichess.org/mtK0unYA,1129,Black,"Queen's Pawn Game: Veresov Attack, Alburt Defense",0,5,0.0,99.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,2.0
86,classyplays,https://lichess.org/5tkDE6wE,2504,White,Queen's Pawn Game: Chigorin Variation,2,62,2625.0,3385.0,64.66666666666667,61.0,639.5555555555554,116.0,22.0,95.36363636363636,83.0,1437.3223140495868,171.0,45.0,99.4,91.0,1656.2400000000002,193.0,44.0,2,2,0.0
87,Zhylko,https://lichess.org/5tkDE6wE,1647,Black,Queen's Pawn Game: Chigorin Variation,0,62,760.0,3385.0,37.44444444444444,22.0,1487.5802469135801,132.0,5.0,9.636363636363637,7.0,65.32231404958677,29.0,0.0,31.7,26.5,1153.21,127.0,0.0,-2,-2,0.0
88,classyplays,https://lichess.org/4iOmv5WN,2504,White,Budapest Defense,1,58,2476.0,4829.0,63.5,68.0,1780.25,112.0,2.0,126.45454545454545,77.0,7583.338842975208,326.0,43.0,64.11111111111111,32.0,3490.987654320988,180.0,12.0,0,0,0.5
89,Jimt884,https://lichess.org/4iOmv5WN,1978,Black,Budapest Defense,1,58,2353.0,4829.0,44.5,19.5,3669.0,195.0,4.0,86.36363636363636,48.0,14910.413223140493,442.0,0.0,116.33333333333333,49.0,18358.88888888889,366.0,9.0,0,0,2.0
